Source,Target,weights
0,1,0.023929786999999998
2,3,0.023264201999999998
4,5,0.02276357816666667
4,1,0.022205487
6,2,0.021635790566666663
7,0,0.021151245333333332
8,9,0.02100148233333333
6,3,0.020532434333333332
10,2,0.020491042333333334
4,9,0.020188088333333333
10,3,0.020135546666666667
11,5,0.020074341666666665
12,2,0.01989269633333333
8,5,0.019840038666666667
13,1,0.01983096076666667
14,15,0.019756397999999998
6,16,0.019752404833333334
12,6,0.019496772633333336
8,11,0.019365388333333334
14,5,0.019356317333333335
4,8,0.019322384666666668
17,15,0.019289446666666668
18,19,0.019246395000000003
20,5,0.019236364000000002
8,14,0.019197157000000003
14,9,0.019179046333333335
21,2,0.0191601165
4,14,0.01910292
5,9,0.01889211
22,1,0.018874529333333334
2,23,0.018842786
24,1,0.0188400541
5,25,0.018682214
4,15,0.01867145166666667
4,11,0.018639272000000002
2,26,0.018507678333333336
14,27,0.018312529666666664
6,28,0.018121718
4,17,0.018086492333333332
8,25,0.018050264833333333
6,10,0.018047770233333333
22,0,0.017915731333333334
21,3,0.017877619
11,9,0.017876186766666666
29,5,0.017736285333333334
6,30,0.017731974433333332
12,10,0.017618294566666668
31,2,0.017611883
15,18,0.01756248033333333
7,1,0.017555538
14,25,0.01752486
8,29,0.017506153333333333
32,0,0.017351109
12,31,0.0173270015
33,5,0.017181416
1,34,0.017141483333333332
35,15,0.017107924333333333
6,26,0.017107884233333332
6,23,0.0170931188
5,27,0.017092130333333334
36,2,0.017085621199999998
30,3,0.017071189666666667
4,33,0.01701839466666667
17,5,0.017012377999999998
30,2,0.0169626971
14,37,0.016947405333333332
3,23,0.016917119333333334
5,15,0.0168493425
38,15,0.016845143333333333
28,2,0.016833697666666668
8,39,0.016824684333333336
40,6,0.016788040133333335
4,0,0.016746113
6,21,0.016733812
4,39,0.01671983
4,27,0.016718856666666667
12,3,0.016708931933333334
8,20,0.0166462835
6,41,0.016613300666666667
5,37,0.016577985333333333
6,31,0.016551981
12,21,0.01655074646666667
11,14,0.016549252666666667
42,15,0.016509606933333334
43,0,0.016469966
20,9,0.016365312666666666
2,44,0.016355421
8,27,0.016350039
9,25,0.016291695166666665
14,20,0.016286757
9,27,0.0162574035
6,45,0.0162058212
14,33,0.0162033555
46,2,0.016157665433333333
7,34,0.016100963
47,8,0.016078231
8,48,0.015980206333333333
14,29,0.015963057333333336
20,25,0.015909584666666667
40,2,0.015900221833333335
49,14,0.0029743121666666664
50,5,0.002906580633333334
51,18,0.002856653266666667
52,5,0.002780663033333333
53,15,0.0027448365000000002
54,15,0.002708383366666666
55,5,0.0026727686
56,15,0.0026642533666666663
57,58,0.002627501566666667
55,9,0.002601292633333333
59,0,0.0025959783333333332
50,14,0.0025710967
60,14,0.0025431548
61,5,0.002541274
55,13,0.0025268916
62,43,0.0025185987666666667
60,5,0.0025107924333333336
63,64,0.0025078510333333332
65,15,0.0025071129
66,15,0.0025051723666666666
60,67,0.002500277433333333
68,0,0.0024926436
69,7,0.0024795829333333335
70,5,0.0024744897999999997
66,5,0.0024742238333333335
71,25,0.0024603788333333334
72,73,0.0024521303333333334
52,74,0.002449873966666667
56,75,0.0024388075
76,14,0.0024360709666666667
77,7,0.0024355692333333334
55,78,0.0024307866666666666
79,58,0.0024247784666666665
80,16,0.0024106728
81,1,0.0024043515333333335
82,1,0.0023956191
68,8,0.0023897860666666666
83,14,0.0023896320333333335
84,34,0.002386468
60,39,0.0023799472666666665
85,15,0.0023779692333333333
69,18,0.0023724424
70,9,0.0023632771
60,86,0.002361390666666667
60,87,0.002357183566666667
56,25,0.0023424136666666665
52,88,0.0023346456666666665
72,14,0.0023244263333333337
50,89,0.0023198876
90,91,0.002319078433333333
92,13,0.0025504001666666666
92,22,0.002316517366666667
92,14,0.0022946965
92,8,0.0022544373
93,39,0.002189275866666667
92,15,0.0021514033333333332
94,0,0.0021498327666666667
95,1,0.0021494732
96,2,0.0021302562
95,7,0.0020837313666666663
92,97,0.0020676683
92,98,0.002040050733333333
99,11,0.0020304439
95,13,0.0020120814666666664
92,75,0.0019792175
92,11,0.0019358029333333335
95,0,0.0019208070999999999
93,100,0.0019120472666666669
101,102,0.0018981537
92,2,0.0018899553333333336
92,16,0.0018790490666666668
103,58,0.0018620419
96,18,0.0018552511333333333
92,104,0.0018139194333333334
93,98,0.0018082482
92,105,0.0018035106333333332
93,106,0.0018027851666666667
92,107,0.0017951844666666665
92,108,0.0017856913333333332
92,3,0.0017770196666666667
93,0,0.001758104333333333
109,1,0.0017575152000000001
93,7,0.0017533401666666667
93,34,0.0017531329333333333
95,5,0.0017523327666666667
92,110,0.0017495081
92,111,0.0017481708666666667
92,5,0.0017393779666666665
93,32,0.0017360340333333333
92,112,0.0017246932766666666
99,5,0.0017231552866666666
93,113,0.0017203034333333333
93,114,0.0017027155333333335
95,115,0.0016980177333333335
92,116,0.0016974569666666668
103,14,0.0016954876
92,117,0.0016944354000000001
95,118,0.0016907546333333335
99,119,0.0016906197333333333
93,120,0.0016880288666666667
121,5,0.003489489533333333
122,1,0.003473473533333333
121,11,0.003454920866666666
121,14,0.0033289504666666665
123,58,0.003158070566666666
121,8,0.003156382866666667
121,20,0.0031133883
124,1,0.003106216466666667
121,25,0.003041401733333333
125,5,0.002981678366666667
121,78,0.0029062265666666668
126,2,0.0028812962
121,127,0.002831409366666667
128,15,0.0028286055666666664
126,4,0.0027653952999999996
121,97,0.0027570695
129,5,0.0027490598666666667
129,16,0.0027468837666666667
121,27,0.0027061473666666665
130,7,0.0027050168333333335
131,86,0.0027036410999999997
121,132,0.002699643866666667
122,15,0.0026976704333333333
121,9,0.002692599533333333
128,8,0.002680105133333334
133,0,0.002658546333333333
134,0,0.0026319567666666667
122,58,0.0026317006999999996
130,22,0.002617940166666667
125,135,0.0026176081
133,13,0.0026071837999999997
136,13,0.0025965287333333336
137,1,0.002576989233333333
130,138,0.0025580204666666665
130,115,0.0025262942666666667
139,140,0.0025204776333333334
141,17,0.0025170223333333334
142,1,0.0025087238
143,144,0.0024932346333333332
139,145,0.002482105933333333
146,147,0.002480618133333333
130,32,0.0024727009
130,107,0.0024428547
148,5,0.0024395886666666667
149,15,0.0024307055333333332
130,0,0.0024262255333333334
131,0,0.0024100189
121,33,0.0024028947333333333
148,9,0.0024023423999999997
139,150,0.0023965279666666663
151,58,0.007104151866666668
152,15,0.0056490782
153,15,0.005506734666666666
154,1,0.0054984414999999995
153,38,0.005448652433333334
155,1,0.005443982533333333
156,14,0.005429744233333333
151,14,0.005368761333333333
156,1,0.0053470517333333335
155,58,0.005253314833333334
157,15,0.005163094366666667
157,14,0.005104219966666667
158,1,0.005056071133333333
153,58,0.004983678766666667
153,1,0.0049704497
153,14,0.004856552333333333
151,38,0.004824811500000001
155,15,0.004823553
159,1,0.004811678733333333
157,58,0.004733755833333333
155,114,0.004723842933333334
160,1,0.004628678600000001
160,15,0.004604344266666667
153,114,0.0045570741
153,2,0.0045476546
153,3,0.004485193766666667
151,15,0.004477252433333333
161,1,0.004457126166666666
162,9,0.0044168588
154,58,0.0044006006666666665
162,58,0.004383586833333334
158,15,0.004347864233333333
157,7,0.004288037000000001
159,15,0.0042801023
151,1,0.004269146533333333
163,15,0.004260560833333334
164,1,0.0042572839
159,58,0.004217225033333333
154,9,0.004123282866666667
153,64,0.004112016233333334
161,14,0.004105053633333334
154,87,0.004090915333333334
155,9,0.004082487866666667
151,165,0.004071442866666666
154,15,0.0040682873999999996
156,58,0.004062518333333333
152,9,0.0040559702
153,118,0.0040475697
153,35,0.0040460013
152,34,0.0040417441
